年份,原油产量
1990,13831
1991,14099
1992,14210
1993,14524
1994,14608
1995,15005
1996,15733.4
1997,16074.1
1998,16100
1999,16000
2000,16300
2001,16395.9
2002,16700
2003,16960
2004,17587.3
2005,18135.3
2006,18476.6
2007,18631.8
2008,19043.1
2009,18949
2010,20301.4
