年份,财政收入
1991,3149.48
1992,3483.37
1993,4348.95
1994,5218.1
1995,6242.2
1996,7407.99
1997,8651.14
1998,9875.95
1999,11444.08
2000,13395.23
2001,16386.04
2002,18903.64
2003,21715.25
2004,26396.47
2005,31649.29
2006,38760.2
2007,51321.78
2008,61330.35
