年份,城镇居民,农村居民
2000,6808,1931
2001,7109,2048
2002,7498,2175
2003,7812,2313
2004,8565,2540
2005,9472,2805
2006,10329,3095
2007,11981,3579
2008,13527,4012
2009,14447,4341
2010,16260,4851
2011,18968,5996
2012,20759,6667
2013,22583,7524
2014,24508,8508
2015,26413,9365
2016,28600,10493
2017,30959,11940
2018,33308,13689
