地区,地区生产总值
北京市,21330.83
天津市,15726.93
河北省,29421.15
山西省,12761.49
内蒙古自治区,17770.19
辽宁省,28626.58
吉林省,13803.14
黑龙江省,15039.38
上海市,23567.7
江苏省,65088.32
浙江省,40173.03
安徽省,20848.75
福建省,24055.76
江西省,15714.63
山东省,59426.59
河南省,34938.24
湖北省,27379.22
湖南省,27037.32
广东省,67809.85
广西壮族自治区,15672.89
海南省,3500.72
重庆市,14262.6
四川省,28536.66
贵州省,9266.39
云南省,12814.59
西藏自治区,920.83
陕西省,17689.94
甘肃省,6836.82
青海省,2303.32
宁夏回族自治区,2752.1
新疆维吾尔自治区,9273.46
